Country,Last,Previous,Reference,Unit
Afghanistan,553,578,20-Dec,USD
Albania,4424,4549,20-Dec,USD
Algeria,3815,4111,20-Dec,USD
Andorra,34287,39003,20-Dec,USD
Angola,3214,3459,20-Dec,USD
Antigua and Barbuda,12870,15445,20-Dec,USD
Argentina,11342,12712,20-Dec,USD
Armenia,4012,4350,20-Dec,USD
Australia,58020,58923,20-Dec,USD
Austria,43611,46718,20-Dec,USD
Azerbaijan,5073,5347,20-Dec,USD
Bahamas,27197,32798,20-Dec,USD
Bahrain,19257,21199,20-Dec,USD
Bangladesh,1626,1604,20-Dec,USD
Barbados,13826,16800,20-Dec,USD
Belarus,6222,6266,20-Dec,USD
Belgium,39960,42888,20-Dec,USD
Belize,3967,4701,20-Dec,USD
Benin,1215,1202,20-Dec,USD
Bhutan,2977,3229,20-Dec,USD
Bolivia,3016,3317,20-Dec,USD
Bosnia and Herzegovina,5367,5575,20-Dec,USD
Botswana,6526,7232,20-Dec,USD
Brazil,8229,8638,20-Dec,USD
Brunei,30718,30646,20-Dec,USD
Bulgaria,8050,8340,20-Dec,USD
Burkina Faso,733,739,20-Dec,USD
Burundi,271,278,20-Dec,USD
Cabo Verde,2935,3482,20-Dec,USD
Cambodia,1375,1439,20-Dec,USD
Cameroon,1373,1398,20-Dec,USD
Canada,42108,44958,20-Dec,USD
Cape Verde,2935,3482,20-Dec,USD
Cayman Islands,83536,81438,19-Dec,USD
Central African Republic,411,418,20-Dec,USD
Chad,635,660,20-Dec,USD
Chile,12954,13867,20-Dec,USD
China,10431,10228,20-Dec,USD
Colombia,5889,6390,20-Dec,USD
Comoros,1319,1285,20-Dec,USD
Congo,501,513,20-Dec,USD
Costa Rica,11970,12655,20-Dec,USD
Croatia,12694,13792,20-Dec,USD
Cuba,8027,8041,19-Dec,USD
Cyprus,30438,32517,20-Dec,USD
Czech Republic,18984,20202,20-Dec,USD
Denmark,56202,57553,20-Dec,USD
Dominica,6329,7618,20-Dec,USD
Dominican Republic,7678,8314,20-Dec,USD
East Timor,1286,1436,20-Dec,USD
Ecuador,5318,5854,20-Dec,USD
Egypt,4028,3965,20-Dec,USD
El Salvador,3666,4003,20-Dec,USD
Equatorial Guinea,6778,7374,20-Dec,USD
Estonia,19736,20400,20-Dec,USD
Ethiopia,827,800,20-Dec,USD
Euro Area,34424,36837,20-Dec,USD
European Union,30997,32997,20-Dec,USD
Fiji,4717,5869,20-Dec,USD
Finland,44773,46173,20-Dec,USD
France,35765,38897,20-Dec,USD
Gabon,6856,7118,20-Dec,USD
Gambia,693,713,20-Dec,USD
Georgia,4487,4773,20-Dec,USD
Germany,41259,43312,20-Dec,USD
Ghana,1941,1974,20-Dec,USD
Greece,17436,18993,20-Dec,USD
Grenada,9051,10243,20-Dec,USD
Guatemala,3264,3365,20-Dec,USD
Guinea,984,946,20-Dec,USD
Guinea Bissau,619,650,20-Dec,USD
Guyana,9250,6478,20-Dec,USD
Haiti,1309,1372,20-Dec,USD
Honduras,2239,2499,20-Dec,USD
Hong Kong,41644,44190,20-Dec,USD
Hungary,14328,15042,20-Dec,USD
Iceland,53194,57819,20-Dec,USD
India,1798,1973,20-Dec,USD
Indonesia,3757,3877,20-Dec,USD
Iran,4802,4785,20-Dec,USD
Iraq,4287,4894,20-Dec,USD
Ireland,78558,75113,20-Dec,USD
Israel,36564,38153,16-Dec,USD
Italy,29287,32044,20-Dec,USD
Ivory Coast,2311,2328,20-Dec,USD
Jamaica,4529,5065,20-Dec,USD
Japan,34366,36362,20-Dec,USD
Jordan,4029,4134,20-Dec,USD
Kazakhstan,10964,11403,20-Dec,USD
Kenya,1475,1513,20-Dec,USD
Kiribati,1630,1615,20-Dec,USD
Kosovo,3993,4256,20-Dec,USD
