Country,Country Code,Oblast pcode,Source,Oblast,Raion pcode,Raion,Municipality pcode,Municipality Name,Displacement since Start of Conflict,Date of Interview,Snapshot_Date,,,,https://displacement.iom.int/datasets/ukraine-baseline-assessment-zakarpatska-oblast-round-1
#country+name,#country+code,#adm1+code,#data+source,#adm1+name,#adm2+code,#adm2+name,#adm3+code,#adm3+name,#affected+idps+ind,#date+occurred,#date+reported,,,,
Ukraine,UKR,UA21,Municipality Official,Zakarpatska,UA2102,Berehivskyi,UA2102001,Bativska,2500,2022-04-05,2022-04-15,,,,
Ukraine,UKR,UA21,Municipality Official,Zakarpatska,UA2102,Berehivskyi,UA2102009,Vylotska,1500,2022-04-05,2022-04-15,,,,
Ukraine,UKR,UA21,Municipality Official,Zakarpatska,UA2102,Berehivskyi,UA2102005,Velykoberezka,15000,2022-04-05,2022-04-15,,,,
Ukraine,UKR,UA21,Municipality Official,Zakarpatska,UA2102,Berehivskyi,UA2102015,Korolivska,1760,2022-04-05,2022-04-15,,,,
Ukraine,UKR,UA21,Municipality Official,Zakarpatska,UA2102,Berehivskyi,UA2102013,Kamianska,700,2022-04-05,2022-04-15,,,,
Ukraine,UKR,UA21,Municipality Official,Zakarpatska,UA2102,Berehivskyi,UA2102007,Velykobyihanska,430,2022-04-06,2022-04-15,,,,
Ukraine,UKR,UA21,Other,Zakarpatska,UA2104,Mukachivskyi,UA2104013,Kolchynska,1818,2022-04-06,2022-04-15,,,,
Ukraine,UKR,UA21,Other,Zakarpatska,UA2104,Mukachivskyi,UA2104017,Nelipynska,100,2022-04-06,2022-04-15,,,,
Ukraine,UKR,UA21,Other,Zakarpatska,UA2104,Mukachivskyi,UA2104025,Chynadiivska,3800,2022-04-06,2022-04-15,,,,
Ukraine,UKR,UA21,Other,Zakarpatska,UA2104,Mukachivskyi,UA2104023,Svaliavska,3500,2022-04-06,2022-04-15,,,,
Ukraine,UKR,UA21,Other,Zakarpatska,UA2104,Mukachivskyi,UA2104019,Nyzhnovoritska,1000,2022-04-06,2022-04-15,,,,
Ukraine,UKR,UA21,Other,Zakarpatska,UA2106,Rakhivskyi,UA2106005,Rakhivska,4351,2022-04-06,2022-04-15,,,,
Ukraine,UKR,UA21,Other,Zakarpatska,UA2106,Rakhivskyi,UA2106007,Yasinianska,6537,2022-04-08,2022-04-15,,,,
Ukraine,UKR,UA21,Other,Zakarpatska,UA2110,Uzhhorodskyi,UA2110023,Uzhhorodska,4175,2022-04-08,2022-04-15,,,,
Ukraine,UKR,UA21,Other,Zakarpatska,UA2108,Tiachivskyi,UA2108001,Bedevlianska,1128,2022-04-08,2022-04-15,,,,
Ukraine,UKR,UA21,Other,Zakarpatska,UA2108,Tiachivskyi,UA2108007,Dubivska,2000,2022-04-08,2022-04-15,,,,
Ukraine,UKR,UA21,Other,Zakarpatska,UA2108,Tiachivskyi,UA2108003,Bushtynska,3176,2022-04-08,2022-04-15,,,,
Ukraine,UKR,UA21,Other,Zakarpatska,UA2108,Tiachivskyi,UA2108009,Neresnytska,3278,2022-04-08,2022-04-15,,,,
Ukraine,UKR,UA21,Municipality Official,Zakarpatska,UA2110,Uzhhorodskyi,UA2110027,Chopska,10000,2022-04-08,2022-04-15,,,,
Ukraine,UKR,UA21,Municipality Official,Zakarpatska,UA2102,Berehivskyi,UA2102019,Pyiterfolvivska,1000,2022-04-08,2022-04-15,,,,
Ukraine,UKR,UA21,Municipality Official,Zakarpatska,UA2104,Mukachivskyi,UA2104009,Zhdeniivska,2000,2022-04-08,2022-04-15,,,,
Ukraine,UKR,UA21,Municipality Official,Zakarpatska,UA2104,Mukachivskyi,UA2104007,Horondivska,2000,2022-04-08,2022-04-15,,,,
Ukraine,UKR,UA21,Municipality Official,Zakarpatska,UA2104,Mukachivskyi,UA2104011,Ivanovetska,1354,2022-04-11,2022-04-15,,,,
Ukraine,UKR,UA21,Municipality Official,Zakarpatska,UA2102,Berehivskyi,UA2102017,Kosonska,2000,2022-04-11,2022-04-15,,,,
Ukraine,UKR,UA21,Municipality Official,Zakarpatska,UA2112,Khustskyi,UA2112025,Khustska,3672,2022-04-11,2022-04-15,,,,
Ukraine,UKR,UA21,Municipality Official,Zakarpatska,UA2112,Khustskyi,UA2112023,Synevyrska,323,2022-04-11,2022-04-15,,,,
Ukraine,UKR,UA21,Other,Zakarpatska,UA2108,Tiachivskyi,UA2108011,Solotvynska,3000,2022-04-11,2022-04-15,,,,
Ukraine,UKR,UA21,Other,Zakarpatska,UA2108,Tiachivskyi,UA2108015,Tiachivska,3000,2022-04-11,2022-04-15,,,,
Ukraine,UKR,UA21,Other,Zakarpatska,UA2108,Tiachivskyi,UA2108019,Ust-Chornianska,722,2022-04-11,2022-04-15,,,,
Ukraine,UKR,UA21,Other,Zakarpatska,UA2110,Uzhhorodskyi,UA2110001,Baranynska,400,2022-04-11,2022-04-15,,,,
