data_date,cumulative_refugees
"March 1, 2022",341
"March 3, 2022",384
"March 4, 2022",406
"March 7, 2022",453
"March 8, 2022",592
"March 9, 2022",765
"March 10, 2022",858
"March 11, 2022",938
"March 13, 2022",1226
"March 15, 2022",1816
"March 16, 2022",2127
"March 17, 2022",2548
"March 20, 2022",3765
"March 21, 2022",4308
"March 23, 2022",5569
"March 24, 2022",6341
"March 30, 2022",11821
"March 31, 2022",12746
"April 3, 2022",15281
"April 4, 2022",16274
"April 6, 2022",18060
"April 7, 2022",19096
"April 11, 2022",21292
"April 13, 2022",22428
"April 14, 2022",22827
"April 18, 2022",23609
"April 20, 2022",23900
"April 21, 2022",24084
"April 24, 2022",24477
"April 26, 2022",24719
"April 27, 2022",24857
"April 28, 2022",25002
"May 3, 2022",25852
"May 4, 2022",25852
"May 5, 2022",26149
"May 6, 2022",26278
"May 9, 2022",26985
"May 10, 2022",27108
"May 11, 2022",27308
"May 12, 2022",27308
