data_date,cumulative_refugees
"March 1, 2022",42900
"March 3, 2022",53300
"March 8, 2022",99300
"March 9, 2022",97098
"March 10, 2022",105897
"March 13, 2022",131365
"March 15, 2022",155841
"March 16, 2022",168858
"March 17, 2022",184563
"March 20, 2022",231764
"March 21, 2022",252376
"March 22, 2022",271254
"March 29, 2022",350632
"April 8, 2022",389845
"April 9, 2022",404418
"April 11, 2022",433083
"April 13, 2022",471014
"April 14, 2022",484725
"April 18, 2022",535842
"April 20, 2022",563266
"April 21, 2022",578255
"April 24, 2022",605815
"April 26, 2022",627512
"April 27, 2022",641752
"April 28, 2022",656381
"April 30, 2022",681156
"May 3, 2022",703523
"May 4, 2022",714713
"May 5, 2022",727712
"May 6, 2022",739418
"May 10, 2022",772121
"May 11, 2022",785348
"May 12, 2022",800104
