data_date,individuals,daily
2022-02-24,79209,79209
2022-02-25,179525,100316
2022-02-26,322760,143235
2022-02-27,490433,167673
2022-02-28,652445,162012
2022-03-01,818761,166316
2022-03-02,989560,170799
2022-03-03,1173690,184130
2022-03-04,1343790,170100
2022-03-05,1540463,196673
2022-03-06,1742987,202524
2022-03-07,1948991,206004
2022-03-08,2132789,183798
2022-03-09,2301246,168457
2022-03-10,2433558,132312
2022-03-11,2552776,119218
2022-03-12,2666156,113380
2022-03-13,2789420,123264
2022-03-14,2900291,110871
2022-03-15,3007520,107229
2022-03-16,3108406,100886
2022-03-17,3191919,83513
2022-03-18,3270755,78836
2022-03-19,3343434,72679
2022-03-20,3401677,58243
2022-03-21,3460430,58753
2022-03-22,3524562,64132
2022-03-23,3586938,62376
2022-03-24,3653436,66498
2022-03-25,3716127,62691
2022-03-26,3777051,60924
2022-03-27,3830949,53898
2022-03-28,3879068,48119
2022-03-29,3921481,42413
2022-03-30,3972820,51339
2022-03-31,4025932,53112
2022-04-01,4074831,48899
2022-04-02,4125824,50993
2022-04-03,4173337,47513
2022-04-04,4218065,44728
2022-04-05,4267209,49144
2022-04-06,4322205,54996
2022-04-07,4377667,55462
2022-04-08,4437007,59340
2022-04-09,4499306,62299
2022-04-10,4554408,55102
2022-04-11,4608108,53700
2022-04-12,4662999,54891
2022-04-13,4718591,55592
2022-04-14,4777081,58490
2022-04-15,4831290,54209
2022-04-16,4876680,45390
2022-04-17,4914996,38316
2022-04-18,4959759,44763
2022-04-19,5013506,53747
2022-04-20,5063740,50234
2022-04-21,5112058,48318
2022-04-22,5154360,42302
2022-04-23,5190003,35643
2022-04-24,5212090,22087
2022-04-25,5244021,31931
2022-04-26,5292508,48487
2022-04-27,5347117,54609
2022-04-28,5403488,56371
2022-04-29,5457721,54233
2022-04-30,5510890,53169
2022-05-01,5551223,40333
2022-05-02,5588314,37091
2022-05-03,5629564,41250
2022-05-04,5679591,50027
2022-05-05,5728113,48522
2022-05-06,5779588,51475
2022-05-07,5834145,54557
2022-05-08,5880812,46667
2022-05-09,5911853,31041
2022-05-10,5949099,37246
2022-05-11,5996825,47726
2022-05-12,6046921,50096
2022-05-13,6094809,47888
2022-05-14,6141703,46894
2022-05-15,6189218,47515
2022-05-16,6231848,42630
2022-05-17,6276834,44986
2022-05-18,6325220,48386
2022-05-19,6372948,47728
2022-05-20,6425000,52052
2022-05-21,6473725,48725
2022-05-22,6514957,41232
2022-05-23,6557241,42284
2022-05-24,6603785,46544
2022-05-25,6652164,48379
2022-05-26,6700411,48247
2022-05-27,6737208,36797
2022-05-28,6771963,34755
2022-05-29,6801987,30024
