Disease,Country,Model_Est_Disease_T,Rel_Diff_Nat_T,Rel_Diff_Gender_T,Rel_Diff_Age_T,Rel_Diff_Age_Gender_T
CVD,Poland,253901(123763–354477),61.82%(32.39%–108.59%),63.92%(34.27%–112.31%),-0.93%(-3.34%–6.7%),3.29%(1.51%–5.09%)
CVD,Slovakia,19173(6460–123068),99.45%(36.45%–199.02%),101.85%(38.21%–203.64%),1.79%(-2.8%–12.27%),6.12%(1.95%–9.88%)
CVD,Hungary,47034(29802–122631),75.91%(34.84%–139.75%),78.13%(36.28%–144.55%),-0.15%(-3.06%–8.71%),4.1%(1.83%–6.91%)
CVD,Romania,62773(37058–115245),71.51%(35.24%–123.3%),73.68%(36.73%–126.85%),-1%(-3.57%–6.57%),3.21%(1.5%–4.81%)
CVD,Belarus,11265(292–37280),51.66%(20.19%–97.46%),53.68%(22.08%–100.64%),-1.64%(-4.49%–6.03%),2.55%(-0.24%–4.82%)
CVD,Moldova,7268(91–47623),48.26%(15.09%–100.12%),50.23%(16.61%–103.08%),-2.02%(-5.21%–6.02%),2.16%(-1.16%–4.79%)
CVD,Russia,63926(2301–110233),42.39%(7.88%–95.57%),44.31%(9.38%–98.77%),-2.31%(-5.69%–5.85%),1.87%(-1.76%–4.82%)
CVD,Europe,64765(1100–116296),62.97%(32.88%–106.64%),65.08%(34.51%–109.93%),-0.97%(-3.55%–6.61%),3.25%(1.52%–4.98%)
Diabetes,Poland,68064(31481–92324),24.14%(6.38%–54.93%),21.1%(1.44%–51.79%),14.2%(5.87%–27.78%),18.11%(11.94%–25.7%)
Diabetes,Slovakia,5937(2608–31588),32.46%(7.43%–73.65%),29.46%(2.24%–71.38%),19.27%(6.05%–36.88%),23.66%(12.17%–34.54%)
Diabetes,Hungary,13327(9548–30847),27.68%(7.23%–65.21%),24.64%(2.6%–62.39%),16.35%(6.17%–33.92%),20.44%(12.26%–32.17%)
Diabetes,Romania,17571(10607–29474),26.01%(6.42%–59.21%),23.01%(2.21%–56.63%),15.08%(6.33%–30.02%),19.14%(12.12%–27.65%)
Diabetes,Belarus,2915(77–9639),20.55%(3.61%–50.36%),17.54%(-0.93%–48.3%),11.74%(2.55%–25.62%),15.52%(8%–22.89%)
Diabetes,Moldova,1871(26–11975),18.44%(0.99%–47.65%),15.48%(-3.78%–46.19%),10.05%(-1%–24.99%),13.8%(3.7%–22.07%)
Diabetes,Russia,16122(614–26937),16.11%(-3.09%–47.85%),13.17%(-6.66%–45.71%),8.44%(-4.19%–24.9%),12.12%(-0.14%–22.48%)
Diabetes,Europe,17510(333–30112),23.97%(5.82%–52.16%),20.95%(1.46%–50.75%),13.93%(5.6%–26.57%),17.87%(11.63%–23.35%)
Cancer,Poland,11381(5584–15418),29.55%(9.02%–62.25%),22.88%(4.15%–50.38%),-18.52%(-19.73%–-6.45%),-8.27%(-8.21%–-5.12%)
Cancer,Slovakia,951(363–5381),44.35%(12.02%–95.34%),37.48%(6.27%–85.36%),-18.97%(-19.39%–-4.89%),-8.88%(-7.99%–-2.38%)
Cancer,Hungary,2200(1498–5364),34.99%(10.84%–70.95%),28.25%(5.55%–60.31%),-19.05%(-19.86%–-6.14%),-8.91%(-8.33%–-4.85%)
