user_loc,fr_loc,scaled_sci
UKR1,ABW,12
UKR1,AGO1,32
UKR1,AGO10,25
UKR1,AGO11,22
UKR1,AGO12,30
UKR1,AGO13,28
UKR1,AGO14,23
UKR1,AGO15,22
UKR1,AGO16,24
UKR1,AGO17,19
UKR1,AGO18,26
UKR1,AGO2,23
UKR1,AGO3,23
UKR1,AGO4,143
UKR1,AGO5,19
UKR1,AGO6,21
UKR1,AGO7,24
UKR1,AGO8,29
UKR1,AGO9,30
UKR1,AL01,56
UKR1,AL02,60
UKR1,AL03,61
UKR1,AND,201
UKR1,ARE1,84
UKR1,ARE2,75
UKR1,ARE3,218
UKR1,ARE4,107
UKR1,ARE5,618
UKR1,ARE6,104
UKR1,ARE7,67
UKR1,ARE8,55
UKR1,ARG1,21
UKR1,ARG10,14
UKR1,ARG11,19
UKR1,ARG12,14
UKR1,ARG13,18
UKR1,ARG14,19
UKR1,ARG15,19
UKR1,ARG16,16
UKR1,ARG17,15
UKR1,ARG18,18
UKR1,ARG19,23
UKR1,ARG2,20
UKR1,ARG20,19
UKR1,ARG21,18
UKR1,ARG22,14
UKR1,ARG23,29
UKR1,ARG24,16
UKR1,ARG3,11
UKR1,ARG4,16
UKR1,ARG5,20
UKR1,ARG6,38
UKR1,ARG7,17
UKR1,ARG8,16
UKR1,ARG9,12
UKR1,ARM1,384
UKR1,ARM10,2141
UKR1,ARM11,447
UKR1,ARM2,1059
UKR1,ARM3,633
UKR1,ARM4,882
UKR1,ARM5,2945
UKR1,ARM6,662
UKR1,ARM7,532
UKR1,ARM8,510
UKR1,ARM9,318
UKR1,ASM,29
UKR1,AT11,108
UKR1,AT12,148
UKR1,AT13,258
UKR1,AT21,152
UKR1,AT22,130
UKR1,AT31,111
UKR1,AT32,247
UKR1,AT33,107
UKR1,AT34,106
UKR1,ATG,13
UKR1,AUS10,35
UKR1,AUS11,38
UKR1,AUS2,23
UKR1,AUS4,102
UKR1,AUS5,40
UKR1,AUS6,12
UKR1,AUS7,39
UKR1,AUS8,23
UKR1,AUS9,35
UKR1,AZE1,724
UKR1,AZE10,517
UKR1,AZE2,811
UKR1,AZE3,794
UKR1,AZE4,511
UKR1,AZE5,279
UKR1,AZE6,778
UKR1,AZE7,704
UKR1,AZE8,780
UKR1,AZE9,789
UKR1,BDI1,61
UKR1,BDI10,1
UKR1,BDI11,5
UKR1,BDI12,7
UKR1,BDI13,13
UKR1,BDI14,1
UKR1,BDI15,9
UKR1,BDI16,1
UKR1,BDI17,9
UKR1,BDI2,16
UKR1,BDI3,32
UKR1,BDI4,8
UKR1,BDI5,30
UKR1,BDI6,20
UKR1,BDI7,7
UKR1,BDI8,1
UKR1,BDI9,4
UKR1,BE10,159
UKR1,BE21,183
UKR1,BE22,97
UKR1,BE23,72
UKR1,BE24,74
UKR1,BE25,105
UKR1,BE31,53
UKR1,BE32,43
UKR1,BE33,96
UKR1,BE34,74
UKR1,BE35,43
UKR1,BEN1,29
UKR1,BEN10,69
UKR1,BEN11,43
UKR1,BEN12,125
UKR1,BEN2,38
UKR1,BEN3,230
UKR1,BEN4,39
UKR1,BEN5,68
UKR1,BEN6,45
UKR1,BEN7,113
UKR1,BEN8,125
UKR1,BEN9,98
UKR1,BFA1,19
UKR1,BFA10,17
UKR1,BFA11,21
UKR1,BFA12,15
UKR1,BFA13,32
UKR1,BFA2,23
UKR1,BFA3,21
UKR1,BFA4,25
UKR1,BFA5,17
UKR1,BFA6,23
UKR1,BFA7,31
UKR1,BFA8,17
UKR1,BFA9,30
UKR1,BG31,495
UKR1,BG32,317
UKR1,BG33,553
UKR1,BG34,483
UKR1,BG41,390
UKR1,BG42,354
UKR1,BGD1,14
UKR1,BGD2,15
UKR1,BGD3,18
UKR1,BGD4,17
UKR1,BGD5,18
UKR1,BGD6,17
UKR1,BGD7,20
UKR1,BHR1,57
UKR1,BHR2,30
UKR1,BHR3,38
UKR1,BHR4,36
UKR1,BHR5,26
UKR1,BHS,13
UKR1,BIH1,108
UKR1,BIH2,44
UKR1,BIH3,96
UKR1,BLR1,3172
UKR1,BLR2,3307
UKR1,BLR3,2300
UKR1,BLR4,2891
UKR1,BLR5,2561
UKR1,BLR6,2625
UKR1,BLZ,11
UKR1,BMU,54
UKR1,BOL1,14
UKR1,BOL2,13
UKR1,BOL3,6
UKR1,BOL4,13
UKR1,BOL5,11
UKR1,BOL6,9
UKR1,BOL7,8
UKR1,BOL8,14
UKR1,BOL9,10
UKR1,BRA1,10
UKR1,BRA10,9
UKR1,BRA11,12
UKR1,BRA12,10
UKR1,BRA13,12
UKR1,BRA14,10
UKR1,BRA15,10
UKR1,BRA16,15
UKR1,BRA17,11
UKR1,BRA18,9
UKR1,BRA19,14
UKR1,BRA2,10
UKR1,BRA20,14
UKR1,BRA21,12
UKR1,BRA22,9
UKR1,BRA23,11
UKR1,BRA24,15
UKR1,BRA25,14
UKR1,BRA26,10
UKR1,BRA27,11
UKR1,BRA3,9
UKR1,BRA4,13
UKR1,BRA5,9
UKR1,BRA6,11
UKR1,BRA7,14
UKR1,BRA8,12
UKR1,BRA9,13
UKR1,BRB,12
UKR1,BRN,12
UKR1,BTN,8
UKR1,BWA1,6
UKR1,BWA10,6
UKR1,BWA11,8
UKR1,BWA12,10
UKR1,BWA13,7
UKR1,BWA14,6
UKR1,BWA15,6
UKR1,BWA2,11
UKR1,BWA3,7
UKR1,BWA4,9
UKR1,BWA5,7
UKR1,BWA6,1
UKR1,BWA7,1
UKR1,BWA8,12
UKR1,BWA9,9
UKR1,CAF1,1
UKR1,CAF10,1
UKR1,CAF11,52
UKR1,CAF12,102
UKR1,CAF13,1
UKR1,CAF14,1
UKR1,CAF15,1
UKR1,CAF16,1
UKR1,CAF17,1
UKR1,CAF2,28
UKR1,CAF3,1
UKR1,CAF5,1
UKR1,CAF8,25
UKR1,CAF9,47
UKR1,CAN1,205
UKR1,CAN10,30
UKR1,CAN11,49
UKR1,CAN12,388
UKR1,CAN13,12
UKR1,CAN2,96
UKR1,CAN3,217
UKR1,CAN4,115
UKR1,CAN5,30
UKR1,CAN6,13
UKR1,CAN7,58
UKR1,CAN8,11
UKR1,CAN9,135
UKR1,CH01,136
UKR1,CH02,117
UKR1,CH03,127
UKR1,CH04,170
UKR1,CH05,117
UKR1,CH06,125
UKR1,CH07,298
UKR1,CHL1,20
UKR1,CHL10,23
UKR1,CHL11,21
UKR1,CHL12,12
UKR1,CHL13,18
UKR1,CHL14,13
UKR1,CHL15,18
UKR1,CHL2,14
UKR1,CHL3,13
UKR1,CHL4,17
UKR1,CHL5,11
UKR1,CHL6,12
UKR1,CHL7,15
UKR1,CHL8,15
UKR1,CHL9,13
UKR1,CIV1,94
UKR1,CIV10,126
UKR1,CIV11,78
UKR1,CIV12,66
UKR1,CIV13,87
UKR1,CIV14,76
UKR1,CIV2,129
UKR1,CIV3,67
UKR1,CIV4,86
UKR1,CIV5,73
UKR1,CIV6,77
UKR1,CIV7,87
UKR1,CIV8,63
UKR1,CIV9,101
UKR1,CMR1,21
UKR1,CMR10,49
UKR1,CMR2,53
UKR1,CMR3,29
UKR1,CMR4,28
UKR1,CMR5,42
UKR1,CMR6,52
UKR1,CMR7,21
UKR1,CMR8,22
UKR1,CMR9,80
UKR1,COD1,30
UKR1,COD2,25
UKR1,COD3,20
UKR1,COD4,19
UKR1,COD5,10
UKR1,COD6,27
UKR1,COD7,31
UKR1,COD8,23
UKR1,COD9,26
UKR1,COG1,51
UKR1,COG10,56
UKR1,COG11,126
UKR1,COG12,61
UKR1,COG2,87
UKR1,COG3,1
UKR1,COG4,123
UKR1,COG5,80
UKR1,COG6,71
UKR1,COG7,43
UKR1,COG8,40
UKR1,COG9,16
UKR1,COL1,12
UKR1,COL10,10
UKR1,COL11,10
UKR1,COL12,10
UKR1,COL13,9
UKR1,COL14,17
UKR1,COL15,14
UKR1,COL16,11
UKR1,COL17,12
UKR1,COL18,11
UKR1,COL19,11
UKR1,COL2,15
UKR1,COL20,13
UKR1,COL21,13
UKR1,COL22,13
UKR1,COL23,10
UKR1,COL24,16
UKR1,COL25,14
UKR1,COL26,16
UKR1,COL27,13
UKR1,COL28,9
UKR1,COL29,13
UKR1,COL3,11
UKR1,COL30,15
UKR1,COL31,4
UKR1,COL32,18
UKR1,COL4,10
UKR1,COL5,11
UKR1,COL6,12
UKR1,COL7,10
UKR1,COL8,14
UKR1,COL9,10
UKR1,COM,9
UKR1,CPV,18
UKR1,CRI1,17
UKR1,CRI2,14
UKR1,CRI3,23
UKR1,CRI4,20
UKR1,CRI5,17
UKR1,CRI6,20
UKR1,CRI7,21
UKR1,CUW,18
UKR1,CY00,566
UKR1,CYM,23
UKR1,CZ01,3000
UKR1,CZ02,2478
UKR1,CZ03,2508
UKR1,CZ04,1150
UKR1,CZ05,1757
UKR1,CZ06,1332
UKR1,CZ07,586
UKR1,CZ08,365
UKR1,DE11,280
UKR1,DE12,308
UKR1,DE13,299
UKR1,DE14,209
UKR1,DE21,281
UKR1,DE22,172
UKR1,DE23,252
UKR1,DE24,240
UKR1,DE25,325
UKR1,DE26,263
UKR1,DE27,238
UKR1,DE30,513
UKR1,DE40,238
UKR1,DE50,319
UKR1,DE60,457
UKR1,DE71,267
UKR1,DE72,225
UKR1,DE73,248
UKR1,DE80,315
UKR1,DE91,178
UKR1,DE92,276
UKR1,DE93,221
UKR1,DE94,252
UKR1,DEA1,217
UKR1,DEA2,224
UKR1,DEA3,157
UKR1,DEA4,307
UKR1,DEA5,175
UKR1,DEB1,217
UKR1,DEB2,209
UKR1,DEB3,196
UKR1,DEC0,204
UKR1,DED2,195
UKR1,DED4,242
UKR1,DED5,297
UKR1,DEE0,235
UKR1,DEF0,229
UKR1,DEG0,294
UKR1,DJI,14
UKR1,DK01,128
UKR1,DK02,452
UKR1,DK03,1384
UKR1,DK04,1634
UKR1,DK05,1584
UKR1,DMA,35
UKR1,DOM1,32
UKR1,DOM10,16
UKR1,DOM11,83
UKR1,DOM12,36
UKR1,DOM13,39
UKR1,DOM14,27
UKR1,DOM15,35
UKR1,DOM16,33
UKR1,DOM17,32
UKR1,DOM18,29
UKR1,DOM19,25
UKR1,DOM2,25
UKR1,DOM20,31
UKR1,DOM21,62
UKR1,DOM22,25
UKR1,DOM23,17
UKR1,DOM24,132
UKR1,DOM25,40
UKR1,DOM26,36
UKR1,DOM27,35
UKR1,DOM28,38
UKR1,DOM29,19
UKR1,DOM3,37
UKR1,DOM30,28
UKR1,DOM31,35
UKR1,DOM32,34
UKR1,DOM4,29
UKR1,DOM5,30
UKR1,DOM6,20
UKR1,DOM7,44
UKR1,DOM8,25
UKR1,DOM9,56
UKR1,DZA1,107
UKR1,DZA10,101
UKR1,DZA11,128
UKR1,DZA12,121
UKR1,DZA13,110
UKR1,DZA14,263
UKR1,DZA15,138
UKR1,DZA16,89
UKR1,DZA17,67
UKR1,DZA18,57
UKR1,DZA19,127
UKR1,DZA2,129
UKR1,DZA20,70
UKR1,DZA21,108
UKR1,DZA22,76
UKR1,DZA23,153
UKR1,DZA24,143
UKR1,DZA25,88
UKR1,DZA26,106
UKR1,DZA27,84
UKR1,DZA28,141
UKR1,DZA29,119
UKR1,DZA3,48
UKR1,DZA30,118
UKR1,DZA31,80
UKR1,DZA32,122
UKR1,DZA33,72
UKR1,DZA34,179
UKR1,DZA35,190
UKR1,DZA36,105
UKR1,DZA37,150
UKR1,DZA38,142
UKR1,DZA39,119
UKR1,DZA4,94
UKR1,DZA40,112
UKR1,DZA41,140
UKR1,DZA42,45
UKR1,DZA43,184
UKR1,DZA44,99
UKR1,DZA45,100
UKR1,DZA46,136
UKR1,DZA47,148
UKR1,DZA48,139
UKR1,DZA5,104
UKR1,DZA6,99
UKR1,DZA7,101
UKR1,DZA8,122
UKR1,DZA9,112
UKR1,ECU1,16
UKR1,ECU10,15
UKR1,ECU11,17
UKR1,ECU12,12
UKR1,ECU13,13
UKR1,ECU14,12
UKR1,ECU15,19
UKR1,ECU16,76
UKR1,ECU17,22
UKR1,ECU18,20
UKR1,ECU19,21
UKR1,ECU2,13
UKR1,ECU20,17
UKR1,ECU21,12
UKR1,ECU22,19
UKR1,ECU23,16
UKR1,ECU24,16
UKR1,ECU3,8
UKR1,ECU4,11
UKR1,ECU5,10
UKR1,ECU6,18
UKR1,ECU7,17
UKR1,ECU8,14
UKR1,ECU9,18
UKR1,EE00,3576
UKR1,EGY1,41
